Positive if Greater Than or Equal To;Sensitivity;1 - Specificity;Specificity;Youden's J;EMGO;Sum of Squares;Farrar
-0,174;0,984834969;0,855575868;0,144424132;0,1292591;0,8707409;0,732240045;0,840410837
-0,166;0,984834969;0,853747715;0,146252285;0,131087254;0,868912746;0,729115139;0,838582684
-0,1575;0,983942908;0,853747715;0,146252285;0,130195193;0,869804807;0,729142991;0,837690623
-0,148;0,983050847;0,853747715;0,146252285;0,129303133;0,870696867;0,729172434;0,836798562
-0,1375;0,983050847;0,844606947;0,155393053;0,1384439;0,8615561;0,713648169;0,827657794
-0,1345;0,982158787;0,844606947;0,155393053;0,13755184;0,86244816;0,713679204;0,826765734
-0,1315;0,982158787;0,842778793;0,157221207;0,139379993;0,860620007;0,710594404;0,82493758
-0,128;0,982158787;0,84095064;0,15904936;0,141208147;0,858791853;0,707516288;0,823109427
-0,125;0,982158787;0,839122486;0,160877514;0,143036301;0,856963699;0,704444856;0,821281273
-0,1165;0,981266726;0,835466179;0,164533821;0,145800547;0,854199453;0,698354672;0,816732905
-0,1075;0,981266726;0,833638026;0,166361974;0,147628701;0,852371299;0,695303293;0,814904752
-0,1045;0,981266726;0,829981718;0,170018282;0,151285008;0,848714992;0,689220589;0,811248445
-0,104;0,981266726;0,829981718;0,170018282;0,151285008;0,848714992;0,689220589;0,811248445
-0,104;0,980374665;0,81535649;0,18464351;0,165018176;0,834981824;0,665191359;0,795731155
-0,103;0,975914362;0,795246801;0,204753199;0,180667561;0,819332439;0,632997592;0,771161163
-0,096;0,975914362;0,793418647;0,206581353;0,182495715;0,817504285;0,630093268;0,769333009
-0,0805;0,975022302;0,793418647;0,206581353;0,181603654;0,818396346;0,630137035;0,768440949
